FM1318orthoCBS1513,Scerevisiae
XP_018220687.1,Q05871
XP_018222368.1,P39935
XP_018221640.1,P40579
XP_018220546.1,Q12354
XP_018222308.1,P48361
XP_018223475.1,P25046
XP_018222747.1,P40052
XP_018219748.1,P53913
XP_018219997.1,P38765
XP_018221856.1,P38795
XP_018223573.1,P38217
XP_018219823.1,P53952
XP_018218890.1,P41909
XP_018222650.1,P38632
XP_018221423.1,P47160
XP_018222866.1,P48365
XP_018221476.1,P39928
XP_018221888.1,P38816
XP_018223701.1,Q03919
XP_018220595.1,P14306
XP_018222493.1,P43555
XP_018223667.1,Q03860
XP_018222688.1,P32263
XP_018219137.1,Q06505
XP_018219863.1,P53981
XP_018221880.1,P38810
XP_018224024.1,P50896
XP_018222887.1,Q12121
XP_018222034.1,P53086
XP_018222569.1,P00127
XP_018223654.1,P38962
XP_018222442.1,P53311
XP_018223985.1,P36527
XP_018218841.1,Q08954
XP_018223939.1,P32387
XP_018223825.1,Q05648
XP_018222133.1,P46672
XP_018221284.1,P47055
XP_018222124.1,P12904
XP_018223487.1,P38180
XP_018221639.1,P38998
XP_018220103.1,Q04212
XP_018219681.1,P11484
XP_018219584.1,P32453
XP_018218893.1,Q12245
XP_018220910.1,Q03957
XP_018220364.1,P54005
XP_018220113.1,P46679
XP_018222735.1,P40043
XP_018223694.1,Q03898
XP_018221920.1,P38843
XP_018222857.1,Q08322
XP_018220052.1,P49957
XP_018220724.1,Q06178
XP_018221502.1,P40475
XP_018222029.1,P53078
XP_018220798.1,Q06686
XP_018224036.1,P32472
XP_018222552.1,P43535
XP_018222247.1,P53218
XP_018219165.1,Q06211
XP_018219084.1,Q12425
XP_018222076.1,P13586
XP_018222028.1,P40107
XP_018219179.1,Q06623
XP_018222890.1,P32495
XP_018220109.1,Q04660
XP_018221407.1,P0CT86
XP_018219508.1,Q12382
XP_018220746.1,Q06485
XP_018222415.1,P53303
XP_018223869.1,Q06680
XP_018221744.1,Q08215
XP_018221038.1,P29468
XP_018222061.1,P53100
XP_018222157.1,P53158
XP_018222179.1,P39936
XP_018219105.1,Q06835
XP_018222195.1,P14120
XP_018221186.1,P14359
XP_018222749.1,P40054
XP_018221051.1,P36112
XP_018222913.1,P48570
XP_018219048.1,P37366
XP_018223518.1,P23724
XP_018222692.1,Q04739
XP_018222929.1,P06100
XP_018221685.1,P41912
XP_018222461.1,P53323
XP_018222012.1,P53066
XP_018219106.1,Q06836
XP_018222438.1,P50090
XP_018223718.1,Q03770
XP_018219519.1,Q99332
XP_018220422.1,Q07804
XP_018219461.1,P09032
XP_018220011.1,P53397
XP_018223067.1,P41920
XP_018219879.1,P40345
XP_018221343.1,P47108
XP_018222562.1,Q00684
XP_018221102.1,P36024
XP_018222503.1,P02557
XP_018219262.1,Q99234
XP_018220664.1,P0CE41
XP_018220315.1,Q03525
XP_018220451.1,Q07949
XP_018221224.1,P42949
XP_018222978.1,P06242
XP_018221039.1,Q02201
XP_018223666.1,P34730
XP_018220167.1,Q04461
XP_018223751.1,P15424
XP_018223705.1,P22470
XP_018219608.1,P53829
XP_018219646.1,P53852
XP_018220177.1,Q3E842
XP_018220471.1,P40395
XP_018222966.1,Q07541
XP_018222413.1,P22803
XP_018223949.1,P0CX54
XP_018220795.1,Q06071
XP_018221366.1,P32529
XP_018219211.1,P33400
XP_018223947.1,Q04033
XP_018220314.1,P49960
XP_018222121.1,P27697
XP_018223801.1,P38907
XP_018222449.1,P53050
XP_018221572.1,P06102
XP_018219530.1,P46669
XP_018220133.1,Q04773
XP_018222380.1,P37267
XP_018220656.1,Q06554
XP_018219520.1,P19524
XP_018220445.1,Q07928
XP_018221050.1,P36111
XP_018219102.1,O13585
XP_018220275.1,Q05021
XP_018222445.1,P29056
XP_018220976.1,P35725
XP_018219833.1,P28834
XP_018220459.1,P23542
XP_018221411.1,P47149
XP_018222577.1,P43613
XP_018221806.1,P38708
XP_018222823.1,P40094
XP_018221645.1,P36032
XP_018219317.1,Q12189
XP_018220254.1,Q03695
XP_018222109.1,P53127
XP_018221936.1,P38853
XP_018221184.1,P34110
XP_018223896.1,Q06336
XP_018223077.1,P35206
XP_018222542.1,P43591
XP_018221390.1,P47136
XP_018219398.1,P32836
XP_018222962.1,P25694
XP_018220948.1,P28320
XP_018221232.1,P40858
XP_018220765.1,Q12318
XP_018219445.1,Q08647
XP_018222581.1,P43617
XP_018224038.1,P08458
XP_018221115.1,P15938
XP_018223303.1,P38148
XP_018221066.1,P36126
XP_018220779.1,Q06011
XP_018218864.1,P33420
XP_018220431.1,Q12369
XP_018223000.1,Q07478
XP_018218748.1,Q08907
XP_018221323.1,P46965
XP_018219506.1,Q12420
XP_018221948.1,P38719
XP_018219217.1,P23180
XP_018223737.1,P37298
XP_018220280.1,Q05670
XP_018221599.1,P40555
XP_018219207.1,P38736
XP_018223524.1,P38197
XP_018220532.1,Q08032
XP_018220994.1,P36093
XP_018221089.1,P36143
XP_018221610.1,P40564
XP_018222837.1,P32641
XP_018221968.1,P38878
XP_018220092.1,Q05043
XP_018218829.1,Q12211
XP_018222632.1,P24279
XP_018220264.1,Q03656
XP_018219139.1,P08593
XP_018222248.1,P53219
XP_018219901.1,Q6Q546
XP_018221758.1,Q08179
XP_018223629.1,Q12176
XP_018223979.1,Q04121
XP_018221037.1,P21576
XP_018223377.1,P25560
XP_018219920.1,P53741
XP_018220179.1,P39523
XP_018223919.1,Q12493
XP_018223191.1,P38286
XP_018219184.1,Q06625
XP_018220325.1,Q03262
XP_018222839.1,P32644
XP_018221421.1,P26783
XP_018221900.1,P38826
XP_018221368.1,P47117
XP_018223315.1,P18480
XP_018219402.1,P32603
XP_018221658.1,P18544
XP_018219323.1,P01119
XP_018222609.1,P38628
XP_018223768.1,P07248
XP_018221287.1,P47058
XP_018219231.1,Q03497
XP_018223304.1,P27344
XP_018224001.1,Q03373
XP_018223322.1,P43550
XP_018220256.1,P07277
XP_018220658.1,P16521
XP_018221274.1,P47048
XP_018222643.1,P28263
XP_018221131.1,P36170
XP_018223092.1,P38234
XP_018222343.1,P23638
XP_018219265.1,P39875
XP_018223203.1,P33755
XP_018219719.1,P53893
XP_018219885.1,P53719
XP_018219583.1,P32452
XP_018220902.1,Q00711
XP_018220191.1,P30620
XP_018220835.1,Q06188
XP_018220693.1,Q05892
XP_018219593.1,P42847
XP_018219817.1,P53949
XP_018220861.1,P36047
XP_018222257.1,P53226
XP_018219747.1,P53912
XP_018223301.1,P38147
XP_018219146.1,Q06511
XP_018223727.1,Q12427
XP_018223161.1,Q00764
XP_018219346.1,P39083
XP_018223145.1,P38266
XP_018219318.1,P26786
XP_018222117.1,P25443
XP_018220588.1,P35181
XP_018219039.1,Q12522
XP_018222353.1,P48235
XP_018221494.1,P40469
XP_018221128.1,P22035
XP_018221151.1,P39543
XP_018220363.1,Q04869
XP_018221346.1,P47111
XP_018219383.1,Q12104
XP_018221142.1,P39531
XP_018223777.1,P11978
XP_018220061.1,Q04235
XP_018219757.1,P53919
XP_018223965.1,Q04087
XP_018221670.1,P04456
XP_018218955.1,Q02831
XP_018223740.1,Q04002
XP_018218933.1,Q02888
XP_018222083.1,P53109
XP_018221362.1,P47116
XP_018219322.1,Q12289
XP_018222790.1,P40077
XP_018222404.1,P42935
XP_018222326.1,P0CX30
XP_018223780.1,Q04935
XP_018219649.1,P32911
XP_018223232.1,Q2V2Q3
XP_018219283.1,Q08438
XP_018223117.1,P38248
XP_018224077.1,P28003
XP_018221318.1,P46957
XP_018223093.1,P38235
XP_018221145.1,P39533
XP_018219860.1,P0CT04
XP_018221378.1,P23641
XP_018223363.1,P40049
XP_018223707.1,Q03761
XP_018221618.1,P35184
XP_018219436.1,P32490
XP_018222664.1,P40007
XP_018220531.1,Q12107
XP_018220498.1,Q12247
XP_018221820.1,P38770
XP_018221438.1,P47171
XP_018220638.1,Q05948
XP_018223602.1,Q00816
XP_018219590.1,P42845
XP_018222736.1,P34909
XP_018221914.1,P38838
XP_018223262.1,P32783
XP_018221220.1,P42945
XP_018220470.1,Q01519
XP_018222695.1,P40019
XP_018223623.1,P14682
XP_018224067.1,Q01329
XP_018222511.1,P43569
XP_018219698.1,Q02821
XP_018219934.1,P53753
XP_018221258.1,P40366
XP_018220814.1,Q06671
XP_018222125.1,P53134
XP_018220351.1,P50101
XP_018223266.1,P38141
XP_018219315.1,Q12275
XP_018222630.1,P32629
XP_018221260.1,Q3E7B2
XP_018220921.1,P33401
XP_018224058.1,Q01574
XP_018220087.1,Q04368
XP_018221076.1,P36137
XP_018222032.1,P53081
XP_018222236.1,P53208
XP_018221700.1,Q12400
XP_018220070.1,Q03674
XP_018219802.1,P32048
XP_018222762.1,P40061
XP_018222403.1,P42934
XP_018219834.1,P53961
XP_018218941.1,P41930
XP_018219021.1,Q12230
XP_018223063.1,Q12158
XP_018223127.1,P38250
XP_018219384.1,Q3E7X9
XP_018223479.1,P38175
XP_018219571.1,P32561
XP_018219822.1,P53951
XP_018219064.1,Q12221
XP_018219542.1,Q08816
XP_018219969.1,Q01846
XP_018220529.1,Q3E798
XP_018221052.1,P36113
XP_018220046.1,Q03722
XP_018223187.1,P20434
XP_018219247.1,P38758
XP_018221223.1,P42948
XP_018219045.1,Q12139
XP_018221460.1,P00724
XP_018219868.1,P12687
XP_018221775.1,Q08096
XP_018223661.1,Q03195
XP_018222099.1,P30777
XP_018221701.1,Q12010
XP_018221791.1,Q12118
XP_018221821.1,P07275
XP_018221833.1,P38778
XP_018221779.1,P04786
XP_018222743.1,Q3E834
XP_018223521.1,P28274
XP_018221559.1,P40185
XP_018220913.1,P36064
XP_018220473.1,Q07990
XP_018219144.1,Q06510
XP_018220438.1,Q07084
XP_018219889.1,P53721
XP_018221458.1,P40445
XP_018222057.1,Q00362
XP_018223541.1,P13434
XP_018221462.1,P27796
XP_018221360.1,P00572
XP_018220149.1,P46680
XP_018222047.1,P53091
XP_018219254.1,Q3E824
XP_018220894.1,P36054
XP_018221227.1,P32477
XP_018220221.1,P18899
XP_018220496.1,Q12133
XP_018223986.1,Q00947
XP_018221436.1,P47170
XP_018220761.1,P51862
XP_018220825.1,Q06200
XP_018221310.1,P47081
XP_018218945.1,Q02895
XP_018221950.1,P38862
XP_018223153.1,P33315
XP_018222559.1,P43603
XP_018222003.1,P51979
XP_018220233.1,P15108
XP_018220453.1,Q07951
XP_018220937.1,P34251
XP_018223467.1,P38164
XP_018223023.1,P41940
XP_018222514.1,P43572
XP_018223050.1,P80235
XP_018222544.1,P43597
XP_018223068.1,Q03446
XP_018223529.1,P38200
XP_018223070.1,P41910
XP_018221524.1,P40493
XP_018221981.1,P0CX36
XP_018219915.1,P53738
XP_018220010.1,P07271
XP_018218951.1,P32333
XP_018219607.1,P24867
XP_018223163.1,P38270
XP_018222984.1,P15436
XP_018221695.1,Q12496
XP_018221731.1,Q12265
XP_018222473.1,P53331
XP_018219810.1,P53943
XP_018219827.1,P53956
XP_018220156.1,Q03161
XP_018218880.1,Q12052
XP_018222444.1,P53313
XP_018218858.1,Q08921
XP_018223047.1,Q12008
XP_018220400.1,Q07872
XP_018220550.1,Q12138
XP_018219623.1,P17065
XP_018220410.1,P31539
XP_018223699.1,P16664
XP_018223769.1,Q04921
XP_018221719.1,Q08232
XP_018222150.1,P40957
XP_018221935.1,P33323
XP_018220683.1,Q06224
XP_018221370.1,P47118
XP_018219238.1,P37299
XP_018219493.1,Q08747
XP_018219825.1,P53954
XP_018219511.1,Q12507
XP_018219730.1,P53900
XP_018219357.1,P20134
XP_018221004.1,P33417
XP_018223942.1,Q04195
XP_018222655.1,P03069
XP_018222455.1,P53318
XP_018222675.1,P22141
XP_018222870.1,P25044
XP_018222759.1,P00899
XP_018220180.1,P34160
XP_018221387.1,P47134
XP_018219797.1,P53939
XP_018223988.1,Q03305
XP_018223403.1,P25621
XP_018220634.1,Q05942
XP_018219710.1,P53883
XP_018222669.1,P89886
XP_018219734.1,P53904
XP_018223582.1,P38071
XP_018220091.1,Q05040
XP_018221577.1,P07278
XP_018221248.1,P47033
XP_018222649.1,P39995
XP_018222006.1,P22434
XP_018221021.1,P25502
XP_018223748.1,P22213
XP_018219895.1,P11655
XP_018222494.1,P43556
XP_018219174.1,P52917
XP_018222878.1,P32797
XP_018220847.1,P32368
XP_018223157.1,P38088
XP_018221740.1,P21182
XP_018220343.1,P25045
XP_018222358.1,P48237
XP_018221589.1,P0CX46
XP_018219814.1,P40991
XP_018219379.1,Q12172
XP_018220327.1,P39113
XP_018222589.1,P04806
XP_018222646.1,P39997
XP_018219778.1,P01120
XP_018221207.1,P35208
XP_018223700.1,P17629
XP_018221811.1,P38764
XP_018219122.1,Q06107
XP_018219795.1,P53938
XP_018219266.1,Q12013
XP_018220517.1,Q12150
XP_018224074.1,P39729
XP_018222615.1,P32317
XP_018221598.1,P40554
XP_018219565.1,P40353
XP_018221304.1,P47076
XP_018220019.1,P54003
XP_018221584.1,P40544
XP_018221444.1,P47175
XP_018222412.1,P42941
XP_018224110.1,P22336
XP_018224092.1,P31379
XP_018220251.1,P23644
XP_018219659.1,P53858
XP_018218886.1,Q12417
XP_018220686.1,Q05867
XP_018223135.1,P22219
XP_018222949.1,P48445
XP_018221395.1,P47137
XP_018223397.1,P25619
XP_018219345.1,P41734
XP_018223348.1,P25568
XP_018221364.1,P40355
XP_018221738.1,Q08223
XP_018219711.1,P53885
XP_018220712.1,P36523
XP_018220854.1,P36041
XP_018222379.1,P53295
XP_018219679.1,P53869
XP_018222927.1,P32770
XP_018220201.1,P28627
XP_018222937.1,P24870
XP_018223344.1,P25573
XP_018222611.1,P39984
XP_018221325.1,P47087
XP_018224086.1,P07866
XP_018221518.1,P40487
XP_018222271.1,P53238
XP_018220575.1,Q99296
XP_018220528.1,P43634
XP_018221342.1,P37020
XP_018222243.1,P53215
XP_018221389.1,P47135
XP_018219892.1,P53724
XP_018219302.1,Q08491
XP_018220959.1,P36078
XP_018221973.1,P38883
XP_018221653.1,P89105
XP_018223364.1,P04173
XP_018219451.1,Q08685
XP_018222272.1,P41901
XP_018223924.1,P39743
XP_018224090.1,P31386
XP_018222338.1,P53278
XP_018221101.1,P36152
XP_018223621.1,Q99288
XP_018220813.1,Q00416
XP_018221590.1,P40547
XP_018222340.1,P40961
XP_018221290.1,Q00618
XP_018221707.1,Q3E835
XP_018219643.1,P12753
XP_018219367.1,P08518
XP_018223528.1,P38199
XP_018219331.1,Q99210
XP_018220025.1,P39682
XP_018218924.1,Q02979
XP_018219377.1,Q12412
XP_018224100.1,P18410
XP_018223908.1,Q06385
XP_018223386.1,P25613
XP_018220389.1,Q12244
XP_018223805.1,P33416
XP_018221623.1,P40573
XP_018220352.1,Q04951
XP_018222882.1,Q12468
XP_018223863.1,P69851
XP_018220342.1,Q03559
XP_018222812.1,P40089
XP_018222807.1,P40086
XP_018221416.1,P47154
XP_018221519.1,Q2V2P5
XP_018223635.1,Q12378
XP_018219693.1,P40169
XP_018219658.1,P53857
XP_018220434.1,Q07895
XP_018223932.1,Q92317
XP_018221247.1,P47032
XP_018219018.1,Q12308
XP_018221335.1,P47102
XP_018221996.1,P53756
XP_018218916.1,P24784
XP_018222903.1,P10870
XP_018222898.1,P26188
XP_018220896.1,P36056
XP_018223343.1,P25574
XP_018222943.1,Q12250
XP_018219704.1,P53877
XP_018223265.1,P38140
XP_018222259.1,P53228
XP_018220726.1,Q12114
XP_018221483.1,P38927
XP_018219739.1,P41948
XP_018222731.1,P40106
XP_018223592.1,Q12494
XP_018223118.1,P38249
XP_018219685.1,P32572
XP_018221292.1,P47061
XP_018222558.1,P39684
XP_018222820.1,P39952
XP_018220628.1,P32791
XP_018224006.1,Q03388
XP_018219389.1,Q12343
XP_018221677.1,Q08268
XP_018221012.1,P36103
XP_018222215.1,P07264
XP_018221945.1,P16522
XP_018222933.1,P39517
XP_018223566.1,P38213
XP_018221405.1,P47144
XP_018223683.1,Q2V2P9
XP_018221006.1,P36100
XP_018219046.1,Q12432
XP_018221959.1,P38720
XP_018220472.1,Q07988
XP_018220508.1,P38634
XP_018218825.1,Q08964
XP_018222427.1,P50076
XP_018220627.1,Q05790
XP_018221830.1,P37898
XP_018223316.1,P38356
XP_018223972.1,Q02336
XP_018223797.1,Q03787
XP_018219063.1,P38431
XP_018219988.1,Q04533
XP_018221520.1,P40489
XP_018223579.1,P29465
XP_018218839.1,Q08956
XP_018223542.1,P38206
XP_018220282.1,Q04740
XP_018223855.1,Q06651
XP_018222048.1,P32803
XP_018222087.1,P22855
XP_018220926.1,P32330
XP_018222304.1,P53255
XP_018219708.1,P53881
XP_018221309.1,P41544
XP_018219560.1,Q08886
XP_018221146.1,P39535
XP_018221214.1,P46955
XP_018219866.1,P25294
XP_018222983.1,P43123
XP_018222005.1,P53061
XP_018219770.1,P53930
XP_018221262.1,P40368
XP_018223279.1,P33317
XP_018220081.1,P50104
XP_018222344.1,P53281
XP_018219433.1,Q12106
XP_018220017.1,P00175
XP_018223259.1,P69850
XP_018221119.1,P36166
XP_018222437.1,P50089
XP_018219306.1,Q08496
XP_018219060.1,Q3E752
XP_018222753.1,P00927
XP_018223057.1,Q12157
XP_018219091.1,Q06810
XP_018220097.1,P46972
XP_018220059.1,P19880
XP_018223391.1,P25617
XP_018220702.1,P06106
XP_018221542.1,P40510
XP_018219604.1,P48567
XP_018222114.1,P53012
XP_018221852.1,P38794
XP_018222122.1,P53133
XP_018223166.1,P38273
XP_018222382.1,P53296
XP_018219756.1,P53918
XP_018222522.1,P35191
XP_018222504.1,P13433
XP_018221864.1,P38800
XP_018219815.1,P53946
XP_018219423.1,Q12032
XP_018220268.1,P24521
XP_018224018.1,P28791
XP_018220708.1,Q06703
XP_018220506.1,Q08023
XP_018220060.1,Q04233
XP_018223616.1,Q04307
XP_018223634.1,Q12167
XP_018218918.1,P15496
XP_018220970.1,Q3E826
XP_018219958.1,P23642
XP_018223162.1,P16140
XP_018221240.1,P05150
XP_018219978.1,P06838
XP_018223680.1,Q04600
XP_018221641.1,P40580
XP_018222446.1,P53314
XP_018220117.1,P38993
XP_018222062.1,P53101
XP_018219513.1,P30624
XP_018221665.1,Q08271
XP_018219336.1,P04051
XP_018219487.1,Q12012
XP_018221091.1,P36144
XP_018223631.1,P40970
XP_018219942.1,Q03102
XP_018220963.1,P36009
XP_018221911.1,P38836
XP_018220556.1,P21192
XP_018223314.1,P38153
XP_018222400.1,P46949
XP_018221516.1,P40485
XP_018221750.1,P40303
XP_018219392.1,Q08550
XP_018220885.1,P32388
XP_018219101.1,P20424
XP_018222199.1,P00931
XP_018223492.1,P32357
XP_018219133.1,Q06497
XP_018220782.1,P18496
XP_018222948.1,Q07560
XP_018221420.1,P47158
XP_018222541.1,P43590
XP_018222035.1,P35190
XP_018222185.1,P0C5N3
XP_018220891.1,P36052
XP_018220672.1,Q06148
XP_018219752.1,P53915
XP_018220421.1,Q07807
XP_018221029.1,P28495
XP_018220218.1,P47771
XP_018222947.1,P39078
XP_018220669.1,Q99260
XP_018222262.1,P33339
XP_018222543.1,P43592
XP_018221527.1,P40496
XP_018221490.1,P40465
XP_018220540.1,Q12127
XP_018221035.1,P36108
XP_018223178.1,P38113
XP_018223009.1,Q07454
XP_018222191.1,P27705
XP_018220606.1,Q06324
XP_018222867.1,Q07684
XP_018223025.1,Q07362
XP_018218978.1,P39107
XP_018222462.1,P53324
XP_018223462.1,P38156
XP_018220660.1,Q06563
XP_018223031.1,Q12408
XP_018223514.1,P07256
XP_018223192.1,P00546
XP_018221942.1,P38859
XP_018220530.1,Q12452
XP_018222463.1,P00958
XP_018219224.1,P38746
XP_018219329.1,Q12271
XP_018220108.1,Q04659
XP_018218885.1,Q12461
XP_018219731.1,P53901
XP_018222925.1,P32772
XP_018218928.1,Q02875
XP_018222276.1,P32914
XP_018224029.1,Q04401
XP_018221379.1,P47125
XP_018219147.1,Q06512
XP_018220608.1,Q05775
XP_018222771.1,P22202
XP_018219602.1,P48565
XP_018220576.1,P39015
XP_018219875.1,P32910
XP_018220334.1,P39112
XP_018219544.1,Q08818
XP_018223671.1,Q12116
XP_018220455.1,Q07959
XP_018222817.1,Q01477
XP_018220877.1,P34239
XP_018221728.1,P32179
XP_018220205.1,Q03795
XP_018223017.1,P41058
XP_018222105.1,P53123
XP_018221114.1,P22354
XP_018223480.1,P38176
XP_018220614.1,Q05778
XP_018222309.1,Q03018
XP_018219429.1,Q12015
XP_018219824.1,P53953
XP_018220220.1,Q03213
XP_018221394.1,P33303
XP_018219300.1,Q08490
XP_018223741.1,Q04003
XP_018222168.1,P53166
XP_018223478.1,P38174
XP_018219033.1,Q12286
XP_018222238.1,P53210
XP_018221015.1,P35210
XP_018222077.1,P15315
XP_018220366.1,Q04893
XP_018218819.1,Q08968
XP_018223085.1,P38228
XP_018222783.1,P40072
XP_018219309.1,Q12466
XP_018223650.1,P38959
XP_018223091.1,P38232
XP_018222502.1,P01123
XP_018222793.1,P40079
XP_018221352.1,P21374
XP_018222206.1,P53193
XP_018218908.1,P53551
XP_018221192.1,P47009
XP_018222869.1,Q07660
XP_018219446.1,Q08649
XP_018222401.1,P46950
XP_018221061.1,P14741
XP_018219140.1,Q01454
XP_018219470.1,P32563
XP_018219227.1,P38689
XP_018223841.1,Q06631
XP_018220741.1,P49954
XP_018219023.1,Q12483
XP_018223742.1,P40986
XP_018223320.1,P38361
XP_018222210.1,P25339
XP_018219203.1,P38734
XP_018221190.1,P46958
XP_018221156.1,P46982
XP_018222852.1,P40885
XP_018222030.1,P53079
XP_018223957.1,Q04067
XP_018221733.1,P41911
XP_018220998.1,P32857
XP_018222546.1,P23337
XP_018223046.1,Q00055
XP_018221780.1,P38902
XP_018219340.1,P14065
XP_018223130.1,P11633
XP_018223733.1,Q03973
XP_018223888.1,Q06325
XP_018222875.1,Q07655
XP_018220048.1,Q03730
XP_018221634.1,P25335
XP_018219071.1,Q03503
XP_018221081.1,P28584
XP_018218982.1,Q03071
XP_018219382.1,Q99287
XP_018220234.1,Q03236
XP_018222318.1,P24868
XP_018221349.1,P19211
XP_018222576.1,P43612
XP_018220072.1,Q03677
XP_018219883.1,P27515
XP_018221909.1,P38696
XP_018223311.1,P38354
XP_018221706.1,Q99247
XP_018220688.1,Q05874
XP_018222636.1,P25515
XP_018221606.1,P40560
XP_018221095.1,P36147
XP_018219391.1,P16622
XP_018221194.1,P14680
XP_018223292.1,P38146
XP_018220674.1,Q06150
XP_018223321.1,P43549
XP_018223852.1,P46676
XP_018223565.1,P38067
XP_018222952.1,P19146
XP_018220195.1,P40214
XP_018222932.1,Q3E829
XP_018223747.1,P39079
XP_018223850.1,P47822
XP_018219597.1,P48560
XP_018222307.1,P53257
XP_018219031.1,Q12188
XP_018223342.1,P25576
XP_018221478.1,P40459
XP_018219777.1,P50946
XP_018219990.1,Q04545
XP_018222286.1,P23369
XP_018223339.1,P16550
XP_018220982.1,P35729
XP_018219334.1,Q12219
XP_018219616.1,P32462
XP_018223283.1,Q3E776
XP_018220276.1,P14908
XP_018220680.1,P29496
XP_018222198.1,P53008
XP_018220923.1,P36070
XP_018219448.1,Q08651
XP_018223941.1,Q04183
XP_018222373.1,P53293
XP_018221155.1,P32944
XP_018223603.1,Q12021
XP_018221404.1,P47143
XP_018222750.1,P40055
XP_018221741.1,P19659
XP_018220184.1,P39685
XP_018218938.1,Q02891
XP_018221149.1,P09119
XP_018223772.1,Q04925
XP_018219877.1,P40343
XP_018221561.1,P40526
XP_018222223.1,P53199
XP_018219799.1,P34072
XP_018223828.1,P31111
XP_018221644.1,P35995
XP_018221763.1,P25040
XP_018220056.1,P27692
XP_018223241.1,P32831
XP_018222317.1,P53262
XP_018220735.1,Q06135
XP_018221535.1,P40505
XP_018221243.1,P47030
XP_018220723.1,Q06177
XP_018219552.1,P21242
XP_018222227.1,P41896
XP_018222578.1,P43614
XP_018221910.1,P38835
XP_018220684.1,Q05854
XP_018219463.1,Q08726
XP_018223846.1,P35176
XP_018219003.1,P06777
XP_018222667.1,P40009
XP_018223662.1,Q12675
XP_018223876.1,Q05468
XP_018219001.1,Q02685
XP_018223212.1,P0CX38
XP_018220114.1,P37296
XP_018222732.1,P40040
XP_018221893.1,P38820
XP_018222090.1,P53112
XP_018218750.1,P39976
XP_018220083.1,P35192
XP_018218965.1,Q12194
XP_018220883.1,P35996
XP_018223571.1,P38069
XP_018219780.1,P48164
XP_018220733.1,Q06134
XP_018220766.1,P09201
XP_018221515.1,P40484
XP_018220386.1,Q12358
XP_018220945.1,P34246
XP_018218852.1,P01149
XP_018223820.1,P87284
XP_018223659.1,P38966
XP_018222079.1,P32863
XP_018221938.1,P38855
XP_018219288.1,Q08457
XP_018223490.1,P38182
XP_018221608.1,P40562
XP_018221749.1,P05319
XP_018223800.1,Q12041
XP_018224059.1,P39719
XP_018223133.1,P38255
XP_018220419.1,P14772
XP_018222988.1,Q12368
XP_018221303.1,P47075
XP_018219876.1,P40342
XP_018222840.1,P29311
XP_018219115.1,Q06102
XP_018221048.1,P36110
XP_018219562.1,P32336
XP_018221711.1,P35193
XP_018220951.1,P33314
XP_018220607.1,P80667
XP_018219148.1,P49089
XP_018222255.1,P53224
XP_018222423.1,P31334
XP_018222464.1,P53326
XP_018223123.1,P09440
XP_018220068.1,P40959
XP_018220287.1,Q02555
XP_018221635.1,P32460
XP_018220057.1,P36533
XP_018219316.1,P40994
XP_018219081.1,Q12160
XP_018219853.1,P53971
XP_018223539.1,P29469
XP_018221472.1,P40456
XP_018219523.1,P34758
XP_018218958.1,P40328
XP_018221761.1,Q08172
XP_018219720.1,Q3E7A8
XP_018219160.1,P32486
XP_018222419.1,P53305
XP_018221586.1,P16370
XP_018220128.1,Q04751
XP_018222570.1,P07270
XP_018223525.1,P38121
XP_018220898.1,P00950
XP_018220024.1,Q04705
